domainID,siteID,plotID,trapID,nlcdClass,decimalLatitude,decimalLongitude,elevation,MDS1,MDS2
D03,DSNY,DSNY_009,N,pastureHay,28.073297,-81.428562,17.3,0.917466626,1.397873152
D03,DSNY,DSNY_009,E,pastureHay,28.073117,-81.428358,17.3,0.990525768,1.237137998
D03,DSNY,DSNY_009,S,pastureHay,28.072936,-81.428561,17.3,1.040626289,1.361984167
D03,DSNY,DSNY_007,E,woodyWetlands,28.053111,-81.417299,16.1,0.7524285,2.207023914
D03,JERC,JERC_006,E,mixedForest,31.187663,-84.455643,41.9,0.7524285,2.207023914
D03,OSBS,OSBS_001,E,woodyWetlands,29.702921,-82.008681,29.1,-0.286872104,0.807526317
D03,OSBS,OSBS_022,S,emergentHerbaceousWetlands,29.689299,-81.960692,24,1.143953144,0.659395616
D03,OSBS,OSBS_001,S,woodyWetlands,29.702739,-82.008886,29.1,-0.594786446,-0.107285203
D09,WOOD,WOOD_003,N,grasslandHerbaceous,47.118761,-99.239945,0,0.619924442,-6.346230887
D10,CPER,CPER_004,W,grasslandHerbaceous,40.81275,-104.697116,1622.7,-0.254457902,-2.29115845
D10,STER,STER_026,S,cultivatedCrops,40.474536,-103.024303,1360.7,-0.601327576,-1.904658313
D10,STER,STER_026,N,cultivatedCrops,40.474897,-103.024292,1360.7,-0.691675783,-2.019524623
D02,SCBI,SCBI_006,S,pastureHay,38.897429,-78.152014,298,-1.220529222,-1.432069953
D02,SCBI,SCBI_006,E,pastureHay,38.897603,-78.151776,298,-1.193322303,-1.176358439
D02,SCBI,SCBI_033,N,pastureHay,38.889097,-78.161295,299.3,-1.465747468,-1.624486493
D02,SCBI,SCBI_012,S,pastureHay,38.888915,-78.168903,264.6,-0.896093875,-1.309274718
D02,SCBI,SCBI_006,W,pastureHay,38.897614,-78.152237,298,-1.472738585,-1.432145578
D02,SCBI,SCBI_006,N,pastureHay,38.897789,-78.151999,298,-0.952433265,-1.283446895
D05,UNDE,UNDE_001,W,deciduousForest,46.234619,-89.56103,523.7,-1.439730759,-0.420184108
D05,UNDE,UNDE_017,N,mixedForest,46.23814,-89.496347,523.8,-8.403572916,-0.321596338
D05,UNDE,UNDE_017,E,mixedForest,46.237966,-89.49608,523.8,-3.082482795,-0.475315725
D05,UNDE,UNDE_017,S,mixedForest,46.237781,-89.496331,523.8,-1.439730759,-0.420184108
D05,UNDE,UNDE_017,W,mixedForest,46.237955,-89.496598,523.8,-8.377377434,-0.344862781
D05,UNDE,UNDE_011,W,woodyWetlands,46.215093,-89.505289,503.6,-1.327901756,-0.474960295
D05,UNDE,UNDE_011,E,woodyWetlands,46.215104,-89.504771,503.6,-2.070608492,-1.053744256
D05,UNDE,UNDE_008,S,mixedForest,46.256013,-89.515044,514.8,-2.070608492,-1.053744256
D05,UNDE,UNDE_003,W,woodyWetlands,46.256241,-89.536349,504.8,-2.227460254,-0.818356703
D05,UNDE,UNDE_001,E,deciduousForest,46.234631,-89.560512,523.7,-2.070608492,-1.053744256
D05,UNDE,UNDE_001,S,deciduousForest,46.234445,-89.560763,523.7,-2.195463272,-0.832393273
D05,UNDE,UNDE_010,E,woodyWetlands,46.237783,-89.541598,512.8,-8.380821353,-0.364174598
D09,WOOD,WOOD_002,E,grasslandHerbaceous,47.136135,-99.232632,0,-1.426490326,-1.930515134
D09,WOOD,WOOD_007,E,grasslandHerbaceous,47.134756,-99.249631,0,0.489476299,-5.996174693
D09,WOOD,WOOD_004,E,grasslandHerbaceous,47.12584,-99.253537,0,-0.410419649,-3.777434929
D09,WOOD,WOOD_023,N,emergentHerbaceousWetlands,47.130298,-99.267271,0,0.116160505,-5.554302183
D09,WOOD,WOOD_003,E,grasslandHerbaceous,47.118582,-99.239681,0,0.632030792,-6.303606728
D09,WOOD,WOOD_003,W,grasslandHerbaceous,47.118581,-99.240208,0,1.195007952,-7.514444066
D09,WOOD,WOOD_006,W,grasslandHerbaceous,47.142318,-99.247436,0,0.096513206,-5.570844058
D09,WOOD,WOOD_002,W,grasslandHerbaceous,47.136133,-99.233159,0,1.194864355,-7.517705183
D09,WOOD,WOOD_023,E,emergentHerbaceousWetlands,47.130119,-99.267006,0,0.296990846,-5.780245708
D09,WOOD,WOOD_023,S,emergentHerbaceousWetlands,47.129938,-99.267269,0,0.094858459,-5.572325078
D09,WOOD,WOOD_001,N,grasslandHerbaceous,47.128438,-99.257769,0,0.489540171,-5.996122731
D09,WOOD,WOOD_007,S,grasslandHerbaceous,47.134575,-99.249894,0,0.489353494,-5.996274551
D09,WOOD,WOOD_006,E,grasslandHerbaceous,47.142319,-99.246909,0,0.112992513,-5.556845271
D09,WOOD,WOOD_024,W,emergentHerbaceousWetlands,47.15117,-99.262912,0,0.100498643,-5.567335342
D09,WOOD,WOOD_001,S,grasslandHerbaceous,47.128078,-99.257767,0,0.116116581,-5.554337132
D01,BART,BART_025,W,evergreenForest,44.059381,-71.313392,542.8,-1.877351255,-0.357079907
D01,BART,BART_025,E,evergreenForest,44.059391,-71.312893,542.8,-2.331071547,-0.270612988
D01,BART,BART_025,N,evergreenForest,44.059566,-71.313149,542.8,-1.607708907,-0.499405217
D01,BART,BART_002,S,deciduousForest,44.034901,-71.272843,550.8,-2.054722779,-0.422302481
D01,BART,BART_002,N,deciduousForest,44.035261,-71.272857,550.8,-2.173484176,-0.188778609
D01,BART,BART_025,S,evergreenForest,44.059206,-71.313135,542.8,-1.983733708,-0.020335649
