"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"CE121C744FD64BBC8366D3A28964D885","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-07","2014-10-07","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000562","vial of pooled individuals","POELUC","Poecilus lucublandus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"B133174117184120A300B5E93408F75C","D02","SCBI","SCBI_004","E","2014-06-10","2014-10-07","2014-10-07","SCBI_004.E.20140610.oc.01","NEON.BET.D02.000564","vial of pooled individuals","POELUC","Poecilus lucublandus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"2D5D7531290B43DF9CAF5C4D168DE4A7","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-13","2014-10-13","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000781","vial of pooled individuals","PTECOR1","Pterostichus coracinus","species",,"Newman",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"E28464D94A7F4428B86940848B547A45","D02","SCBI","SCBI_004","S","2014-06-10","2014-10-07","2014-10-07","SCBI_004.S.20140610.oc.01","NEON.BET.D02.000526","vial of pooled individuals","PTEMUT2","Pterostichus mutus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"1F2ACAE923624C8A8461E6C637547BC5","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-07","2014-10-07","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000525","vial of pooled individuals","PTEMUT2","Pterostichus mutus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"10C037B32452467FA282BFE1BD9C3D0A","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-07","2014-10-07","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000524","vial of pooled individuals","PTEMUT2","Pterostichus mutus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"9FF3C6F226E14D9C853BD32261722211","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-01","2014-10-01","SCBI_004.N.20140610.CHLAES.01","NEON.BET.D02.000026","vial of pooled individuals","CHLAES","Chlaenius aestivus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"39FAF3D75FBA4EF09B33DD59599D230C","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-01","2014-10-01","SCBI_004.N.20140610.CHLAES.01","NEON.BET.D02.000028","vial of pooled individuals","CHLAES","Chlaenius aestivus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"286F9C4314554F7C96E60B6C5DC38CFE","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-01","2014-10-01","SCBI_004.N.20140610.CHLAES.01","NEON.BET.D02.000027","vial of pooled individuals","CHLAES","Chlaenius aestivus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"B288CE7637EE45D49FE584193D4D002E","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-01","2014-10-01","SCBI_004.N.20140610.CHLAES.01","NEON.BET.D02.000029","vial of pooled individuals","CHLAES","Chlaenius aestivus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
