siteID,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TSUN,TMAX,TMIN,TOBS
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140626,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140627,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140628,152,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140629,53,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140630,170,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140701,13,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140702,94,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140703,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140704,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140706,99,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140707,41,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140708,292,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140710,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140711,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140712,13,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140713,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140715,122,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140716,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140717,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140718,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140719,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140721,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140722,86,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140723,36,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140724,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140726,23,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140727,43,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140728,58,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140729,18,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140730,25,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140731,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140801,0,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140802,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140803,36,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140805,8,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140806,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140807,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140811,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140812,104,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140813,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140814,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140816,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140818,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140819,36,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140820,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140821,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140822,328,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140823,15,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140825,272,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140826,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140827,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140829,0,,0,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140830,234,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140831,97,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140901,165,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140902,71,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140903,5,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140904,196,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140905,48,,,,,,
UNDE,GHCND:US1WIVL0003,PRESQUE ISLE 0.8 NNW WI US,500.8,46.2578,-89.7332,20140906,5,,,,,,
